Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
26.06.2015,4,3,26,51,9,0,9,18,157
25.06.2015,4,0,30,56,2,0,2,15,107
24.06.2015,1,3,38,53,7,0,7,18,137
23.06.2015,1,3,36,63,11,0,16,12,166
22.06.2015,2,1,38,71,10,1,11,22,144
21.06.2015,4,4,23,20,7,1,9,35,91
20.06.2015,0,1,26,41,4,0,5,52,115
19.06.2015,3,0,22,58,7,0,7,17,171
18.06.2015,4,3,41,65,10,0,13,21,128
16.06.2015,4,3,24,58,11,0,12,17,144
17.06.2015,0,1,30,57,14,0,16,8,143
15.06.2015,4,1,28,62,10,0,16,28,176
11.06.2015,1,2,35,60,6,1,5,25,148
